Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"Paolini, Christopher",,"=""0375840400""","=""9780375840401""",4,4.05,Knopf Books for Young Readers,Paperback,704,2007,2005,,2020/01/08,,,read,,,,1,0
113436,Eragon (The Inheritance Cycle #1),Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",5,3.97,Alfred A. Knopf,Paperback,503,2005,2002,,2020/01/08,,,read,,,,1,0
18401393,The Martian,Andy Weir,"Weir, Andy",,"=""""","=""""",5,4.42,Broadway Books,Kindle Edition,385,2014,2011,2016/01/20,2016/01/20,,,read,,,,1,0
6548450,Otoño azul,José Ramón Ayllón,"Ayllón, José Ramón",,"=""8483430681""","=""9788483430682""",3,3.59,Bambú,Paperback,160,2010,2009,,2017/11/11,,,read,"Me gusto la trama, sencilla y digerible, pero tuvo un desastroso final que deja mucho que desear",,,1,0
23249416,"An Unwelcome Quest (Magic 2.0, #3)",Scott  Meyer,"Meyer, Scott",,"=""147787139X""","=""9781477871393""",5,4.00,47North,Kindle Edition,434,2015,2015,2016/12/01,2016/12/01,,,read,,,,1,0
28964355,"CTRL ALT Revolt! (Soda Pop Soldier, #0.5)",Nick Cole,"Cole, Nick",,"=""""","=""""",5,3.81,Nick Cole,Kindle Edition,475,2016,2015,2016/09/15,2016/09/15,,,read,,,,1,0
30283023,El factor sobrenatural,Edgar Cantero,"Cantero, Edgar",,"=""""","=""""",5,3.63,Minotauro,Kindle Edition,307,2015,2014,2016/05/24,2016/05/24,,,read,,,,1,0
26183591,Imperfect,Claire Fraise,"Fraise, Claire",,"=""""","=""""",3,3.71,,Kindle Edition,355,2015,2015,2016/05/02,2016/05/02,,,read,,,,1,0
23838958,Érase una vez Mexico 2: Del grito a la Revolución,Alejandro Rosas,"Rosas, Alejandro",Sandra Molina Arceo,"=""6070723252""","=""9786070723254""",3,4.15,Martínez Roca México,Kindle Edition,259,2014,2014,2016/04/13,2016/04/13,,,read,,,,1,0
20557440,Érase una vez México I: De las cavernas al virreinato,Alejandro Rosas,"Rosas, Alejandro",Sandra Molina Arceo,"=""6070719522""","=""9786070719523""",2,3.98,Martínez Roca México,Kindle Edition,236,2013,2013,2016/03/15,2016/03/15,,,read,,,,1,0
20351202,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",3,3.59,Houghton Mifflin Harcourt,ebook,278,2012,1962,2016/03/08,2016/03/08,,,read,,,,1,0
24954186,Master of Formalities,Scott  Meyer,"Meyer, Scott",,"=""1477880917""","=""9781477880913""",5,3.85,47North,Kindle Edition,448,2015,2015,2015/12/04,2015/12/04,,,read,,,,1,0
17731926,Atlantia,Ally Condie,"Condie, Ally",,"=""0698135601""","=""9780698135604""",3,3.42,Dutton Books,Kindle Edition,368,2014,2014,2015/10/06,2015/10/06,,,read,,,,1,0
21240368,"Off to Be the Wizard (Magic 2.0, #1)",Scott  Meyer,"Meyer, Scott",,"=""""","=""""",4,4.00,47North,ebook,277,2014,2013,2015/10/06,2015/10/06,,,read,,,,1,0
20975348,Hungry,H.A. Swain,"Swain, H.A.",,"=""""","=""""",4,3.39,Feiwel & Friends,Kindle Edition,384,2014,2014,2015/07/29,2015/07/27,,,read,,,,1,0
