Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25930989,Pax Romana,Adrian Goldsworthy,"Goldsworthy, Adrian",,"=""0297864289""","=""9780297864288""",0,3.94,W&N,Hardcover,513,2016,2016,,2024/03/24,to-read,to-read (#52),to-read,,,,0,0
55148,The Punic Wars,Adrian Goldsworthy,"Goldsworthy, Adrian",,"=""0304352845""","=""9780304352845""",0,4.20,Cassell & Co. Ltd./Orion Publishing Group,Hardcover,412,2001,2000,,2024/03/24,to-read,to-read (#51),to-read,,,,0,0
20949792,Augustus: First Emperor of Rome,Adrian Goldsworthy,"Goldsworthy, Adrian",,"=""0300178727""","=""9780300178722""",0,4.28,Yale University Press,Hardcover,624,2014,2014,,2024/03/24,to-read,to-read (#50),to-read,,,,0,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk","=""0142437247""","=""9780142437247""",0,3.57,Penguin Classics ,Paperback,720,2003,1851,,2024/03/24,to-read,to-read (#49),to-read,,,,0,0
3984680,La montaña mágica,Thomas Mann,"Mann, Thomas",Isabel García Adánez,"=""8435018385""","=""9788435018388""",0,4.13,Edhasa,Paperback,1056,2009,1924,,2021/09/18,to-read,to-read (#24),to-read,,,,0,0
3730956,Manfred,Lord Byron,"Byron, Lord",,"=""1103516817""","=""9781103516810""",5,3.78,BiblioBazaar,Paperback,84,2009,1817,2024/03/16,2024/03/16,"teatral-dramático, poesía","teatral-dramático (#16), poesía (#32)",read,,,,1,0
27730845,Sardanapalus: A Tragedy,Lord Byron,"Byron, Lord",Ernest Hartley Coleridge,"=""1515144267""","=""9781515144267""",5,3.92,Createspace Independent Publishing Platform,Paperback,136,2015,,2024/03/24,2024/03/22,"teatral-dramático, poesía","teatral-dramático (#17), poesía (#31)",read,,,,1,0
119239,Selected Poems,Lord Byron,"Byron, Lord","Susan J. Wolfson, Peter J. Manning","=""0140424504""","=""9780140424508""",5,4.06,Penguin Classics,Paperback,864,2006,1848,2023/04/29,2022/07/24,poesía,poesía (#9),read,,,,2,0
57262784,El golem,Gustav Meyrink,"Meyrink, Gustav",Alejandra Acosta,"=""""","=""""",5,3.82,Libros del Zorro Rojo,Unknown Binding,234,2020,1915,2023/06/28,2023/06/26,"mitología, novelas, miedo","mitología (#43), novelas (#56), miedo (#8)",read,,,,1,0
74130706,Cuentos filosóficos (Spanish Edition),Honoré de Balzac,"Balzac, Honoré de",,"=""""","=""""",0,4.25,Ediciones Cátedra,Kindle Edition,880,2013,2012,,2024/01/12,to-read,to-read (#48),to-read,,,,0,0
